Unique_Advisor_Id,Month,Activity_Type,Activity_Count
1004240,2015 / 01,26,3
1004240,2015 / 03,26,3
1004240,2015 / 06,26,3
1004268,2015 / 04,25,3
1004268,2015 / 07,26,3
1004268,2016 / 04,1,3
1004268,2016 / 04,26,3
1004268,2016 / 05,26,3
1004268,2016 / 07,26,3
1004268,2016 / 08,26,3
1004268,2016 / 10,26,3
1004283,2015 / 10,1,3
1004283,2015 / 10,26,9
1004283,2015 / 11,1,3
1004283,2015 / 11,17,3
1004283,2016 / 01,26,3
1004283,2016 / 09,11,6
1004283,2016 / 09,26,3
1004283,2016 / 12,26,3
1004284,2016 / 01,5,3
1004284,2016 / 02,1,3
1004284,2016 / 02,16,3
1004284,2016 / 02,26,3
1004284,2016 / 05,26,3
1004284,2016 / 07,25,3
1004284,2016 / 07,26,3
1004284,2016 / 09,11,3
1004284,2016 / 09,26,3
1004284,2016 / 11,26,3
1004443,2015 / 02,11,3
1004443,2015 / 02,17,3
1004443,2015 / 03,17,6
1004443,2015 / 03,25,6
1004443,2015 / 04,11,3
1004443,2015 / 05,11,3
1004443,2015 / 05,22,3
1004443,2015 / 06,1,6
1004443,2015 / 06,26,3
1004443,2015 / 07,1,3
1004443,2015 / 07,26,3
1004443,2015 / 08,26,3
1004443,2015 / 10,22,3
1004443,2015 / 11,1,3
1004443,2016 / 03,26,3
1004443,2016 / 06,26,3
1004503,2015 / 07,22,3
1004503,2015 / 10,16,6
1004503,2016 / 02,1,6
1004503,2016 / 02,13,3
1004503,2016 / 06,26,3
1004503,2016 / 08,16,3
1004503,2016 / 08,26,3
1004503,2016 / 10,16,3
1004503,2016 / 10,26,3
1004621,2015 / 06,1,6
1004621,2015 / 06,16,3
1004621,2015 / 06,25,3
1004621,2015 / 07,1,3
1004621,2015 / 07,26,9
1004621,2015 / 08,1,9
1004621,2015 / 08,16,3
1004621,2015 / 08,26,9
1004621,2015 / 09,26,6
1004621,2015 / 10,1,3
1004621,2015 / 10,17,3
1004621,2015 / 10,26,3
1004621,2015 / 11,13,3
1004621,2015 / 12,17,3
1004621,2015 / 12,26,3
1004621,2016 / 01,26,3
1004621,2016 / 02,26,3
1004621,2016 / 04,16,3
1004621,2016 / 04,26,3
1004621,2016 / 05,25,3
1004621,2016 / 06,16,3
1004621,2016 / 07,16,3
1004621,2016 / 08,16,3
1004621,2016 / 08,26,3
1004621,2016 / 09,11,3
1004621,2016 / 09,26,3
1004621,2016 / 11,16,3
1004621,2016 / 11,26,3
1004662,2015 / 02,17,3
1004662,2015 / 03,25,3
1004662,2015 / 06,22,3
1004662,2015 / 07,16,3
1004662,2015 / 07,25,3
1004662,2015 / 07,26,3
1004662,2015 / 11,1,3
1004662,2015 / 11,26,3
1004662,2016 / 01,1,3
1004662,2016 / 01,26,3
1004662,2016 / 02,22,3
1004662,2016 / 02,26,6
1004662,2016 / 03,1,3
1004662,2016 / 04,1,6
1004662,2016 / 04,22,3
1004662,2016 / 05,1,6
1004662,2016 / 05,13,3
1004662,2016 / 05,25,3
1004662,2016 / 06,11,6
1004662,2016 / 06,25,6
1004662,2016 / 07,11,3
1004662,2016 / 07,25,3
1004662,2016 / 08,22,3
1004662,2016 / 09,26,3
1004662,2016 / 10,26,6
1004662,2016 / 11,17,3
1004695,2016 / 04,25,3
1004718,2016 / 02,26,3
1004718,2016 / 03,1,3
1004718,2016 / 03,13,3
1004718,2016 / 03,22,3
1004718,2016 / 03,26,3
1004718,2016 / 04,26,3
1004718,2016 / 05,25,3
1004718,2016 / 06,26,3
1004718,2016 / 07,26,3
1004718,2016 / 08,11,3
1004718,2016 / 08,25,3
1004718,2016 / 09,26,3
1004718,2016 / 10,13,3
1004718,2016 / 10,26,3
1004718,2016 / 11,26,3
1004823,2016 / 02,26,3
1004823,2016 / 03,26,9
1004823,2016 / 04,1,3
1004823,2016 / 04,26,3
1004823,2016 / 08,11,3
1004823,2016 / 08,26,3
1004823,2016 / 10,11,6
1004823,2016 / 11,11,3
1004823,2016 / 11,26,3
1004825,2015 / 04,26,3
1004825,2015 / 07,16,3
1004825,2015 / 07,26,3
1004825,2015 / 08,11,3
1004825,2015 / 08,26,3
1004825,2015 / 10,26,3
1004825,2015 / 11,13,3
1004825,2016 / 01,26,3
1004825,2016 / 02,13,6
1004825,2016 / 02,26,3
1004825,2016 / 03,13,3
1004825,2016 / 07,26,3
1004825,2016 / 10,26,3
1004825,2016 / 12,16,3
1005270,2015 / 08,1,3
1005270,2015 / 08,26,3
1005270,2016 / 06,26,3
1005270,2016 / 10,26,6
1005332,2015 / 06,1,3
1005332,2015 / 06,11,3
1005332,2015 / 06,25,6
1005332,2015 / 06,26,3
1005332,2015 / 09,1,3
1005332,2015 / 09,26,3
1005332,2015 / 10,26,3
1005332,2015 / 11,1,3
1005332,2015 / 11,26,3
1005332,2016 / 02,26,6
1005332,2016 / 03,1,3
1005332,2016 / 03,26,3
1005332,2016 / 04,1,3
1005332,2016 / 05,1,9
1005332,2016 / 05,26,6
1005332,2016 / 07,11,3
1005332,2016 / 07,26,3
1005332,2016 / 09,11,3
1005332,2016 / 09,26,3
1005332,2016 / 10,11,6
1005332,2016 / 10,26,6
1005332,2016 / 11,11,6
1005332,2016 / 11,13,3
1005332,2016 / 11,26,3
1005337,2015 / 10,16,3
1005337,2016 / 01,26,3
1005337,2016 / 01,5,3
1005337,2016 / 02,5,3
1005337,2016 / 06,26,3
1005337,2016 / 07,11,3
1005337,2016 / 07,26,3
1005337,2016 / 08,26,3
1005337,2016 / 09,22,3
1005337,2016 / 11,11,3
1005337,2016 / 11,26,3
1005343,2015 / 03,11,3
1005343,2015 / 03,26,3
1005343,2015 / 06,1,3
1005343,2015 / 06,26,3
1005343,2015 / 08,26,3
1005343,2016 / 02,1,6
1005343,2016 / 07,11,3
1005353,2015 / 07,26,3
1005353,2015 / 11,1,3
1005353,2015 / 11,26,3
1005353,2016 / 02,1,3
1005353,2016 / 02,26,6
1005353,2016 / 03,1,3
1005353,2016 / 03,26,3
1005353,2016 / 04,1,3
1005353,2016 / 04,26,3
1005353,2016 / 05,1,6
1005353,2016 / 05,13,3
1005353,2016 / 05,26,3
1005353,2016 / 06,25,3
1005353,2016 / 08,11,3
1005353,2016 / 08,26,3
1005353,2016 / 11,11,3
1005353,2016 / 11,26,3
1005418,2015 / 06,5,3
1005418,2016 / 01,26,3
1005418,2016 / 07,26,3
1005418,2016 / 09,26,3
1005418,2016 / 10,16,3
1005418,2016 / 10,26,3
1005418,2016 / 11,26,3
1005464,2015 / 04,26,3
1005464,2015 / 12,26,3
1005644,2015 / 02,11,3
1005644,2015 / 04,11,3
1005644,2015 / 05,11,3
1005644,2015 / 08,26,3
1005644,2015 / 11,1,3
1005644,2015 / 11,25,3
1005644,2016 / 01,1,3
1005644,2016 / 01,26,3
1005644,2016 / 03,26,3
1005644,2016 / 04,1,3
1005644,2016 / 05,1,6
1005644,2016 / 05,13,3
1005644,2016 / 05,25,3
1005644,2016 / 05,26,3
1005644,2016 / 06,25,3
1005644,2016 / 08,26,3
1005644,2016 / 09,26,3
1005644,2016 / 09,6,3
1005644,2016 / 10,11,3
1005644,2016 / 10,26,6
1005644,2016 / 11,26,3
1005649,2015 / 01,11,3
1005649,2015 / 01,26,6
1005649,2015 / 02,11,3
1005649,2015 / 02,26,6
1005649,2015 / 03,16,3
1005649,2015 / 06,5,3
1005649,2015 / 10,13,3
1005649,2016 / 02,13,3
1005649,2016 / 02,26,3
1005649,2016 / 04,25,3
1005649,2016 / 05,16,3
1005649,2016 / 05,25,3
1005649,2016 / 07,25,3
1005649,2016 / 08,26,3
1005649,2016 / 09,25,3
1005649,2016 / 10,16,3
1005649,2016 / 10,26,3
1005649,2016 / 11,16,6
1005649,2016 / 11,25,3
1005649,2016 / 12,16,3
1005662,2015 / 01,17,6
1005662,2015 / 01,26,3
1005662,2015 / 01,9,3
1005662,2015 / 08,1,3
1005662,2015 / 08,26,3
1005662,2015 / 09,26,3
1005662,2015 / 11,25,3
1005662,2015 / 12,1,3
1005662,2015 / 12,26,3
1005662,2016 / 01,25,3
1005662,2016 / 01,26,3
1005662,2016 / 02,1,3
1005662,2016 / 02,25,3
1005662,2016 / 04,17,3
1005662,2016 / 04,26,3
1005662,2016 / 06,25,3
1005662,2016 / 10,26,3
1005662,2016 / 11,17,3
1005662,2016 / 11,26,3
1005803,2015 / 02,11,6
1005803,2015 / 02,22,3
1005803,2015 / 03,26,3
1005803,2015 / 04,11,3
1005803,2015 / 04,25,3
1005803,2015 / 04,26,3
1005803,2015 / 06,26,3
1005803,2015 / 07,25,3
1005803,2015 / 08,25,3
1005803,2015 / 08,26,3
1005803,2015 / 09,26,3
1005803,2015 / 11,26,3
1005803,2016 / 03,26,3
1005803,2016 / 05,26,3
1005803,2016 / 07,26,3
1005803,2016 / 08,26,3
1005803,2016 / 10,26,3
1005803,2016 / 11,25,3
1005879,2016 / 02,1,3
1005879,2016 / 02,26,3
1005879,2016 / 03,1,6
1005879,2016 / 03,26,6
1005879,2016 / 04,1,3
1005879,2016 / 04,26,3
1005879,2016 / 05,1,3
1005879,2016 / 05,26,3
1005879,2016 / 06,11,3
1005879,2016 / 06,26,3
1005879,2016 / 07,11,3
1005879,2016 / 07,26,3
1005879,2016 / 08,26,3
1005879,2016 / 09,11,3
1005879,2016 / 09,26,3
1005879,2016 / 10,11,3
1005879,2016 / 10,26,3
1005879,2016 / 11,11,3
1005879,2016 / 11,26,3
1005879,2016 / 12,26,3
1006155,2015 / 04,11,3
1006155,2015 / 04,25,3
1006155,2015 / 05,11,3
1006155,2015 / 05,17,3
1006155,2015 / 06,26,3
1006155,2015 / 07,25,3
1006155,2015 / 08,1,3
1006155,2015 / 08,16,3
1006155,2015 / 08,26,3
1006155,2015 / 09,1,3
1006155,2015 / 09,22,3
1006155,2015 / 09,25,3
1006155,2015 / 10,1,12
1006155,2015 / 10,16,3
1006155,2015 / 10,26,3
1006155,2015 / 11,22,3
1006155,2015 / 11,26,3
1006155,2015 / 12,1,6
1006155,2015 / 12,17,3
1006155,2015 / 12,22,3
1006155,2015 / 12,25,3
1006155,2016 / 01,13,3
1006155,2016 / 02,1,3
1006155,2016 / 02,26,3
1006155,2016 / 03,1,3
1006155,2016 / 03,17,3
1006155,2016 / 03,25,3
1006155,2016 / 03,26,9
1006155,2016 / 04,1,6
1006155,2016 / 04,16,3
1006155,2016 / 04,25,3
1006155,2016 / 05,1,3
1006155,2016 / 06,16,3
1006155,2016 / 06,25,3
1006155,2016 / 07,26,3
1006155,2016 / 08,11,3
1006155,2016 / 08,16,3
1006155,2016 / 09,26,3
1006155,2016 / 10,11,3
1006155,2016 / 10,16,3
1006155,2016 / 10,26,3
1006155,2016 / 11,16,6
1006155,2016 / 11,26,3
1006518,2015 / 10,26,3
1006541,2015 / 01,11,9
1006541,2015 / 01,26,3
1006541,2015 / 11,26,3
1006541,2016 / 01,26,3
1006541,2016 / 02,13,3
1006541,2016 / 04,26,3
1006541,2016 / 05,16,3
1006541,2016 / 05,26,3
1006541,2016 / 07,11,3
1006541,2016 / 07,17,3
1006541,2016 / 07,26,3
1006541,2016 / 08,26,3
1006541,2016 / 09,26,3
1006541,2016 / 10,26,3
1006541,2016 / 12,26,3
1006587,2016 / 09,26,3
1006742,2016 / 05,25,3
1006742,2016 / 08,25,3
1006742,2016 / 11,26,3
1006855,2016 / 02,26,3
1006855,2016 / 04,25,3
1006855,2016 / 05,26,3
1006855,2016 / 09,25,3
1006861,2015 / 02,11,3
1006861,2015 / 06,17,3
1006861,2015 / 07,1,3
1006861,2015 / 07,26,6
1006861,2015 / 08,1,3
1006861,2015 / 08,26,6
1006861,2015 / 09,22,3
1006861,2015 / 09,26,3
1006861,2015 / 09,6,3
1006861,2015 / 12,1,3
1006861,2015 / 12,26,6
1006861,2016 / 01,1,3
1006861,2016 / 01,26,3
1006861,2016 / 02,26,3
1006861,2016 / 04,1,3
1006861,2016 / 05,1,3
1006861,2016 / 08,11,9
1006861,2016 / 08,12,3
1006861,2016 / 08,22,3
1006861,2016 / 08,26,9
1006861,2016 / 09,11,6
1006861,2016 / 09,26,3
1006861,2016 / 11,26,3
1006865,2015 / 05,22,3
1006865,2015 / 05,25,3
1006865,2016 / 03,25,3
1006888,2015 / 02,26,3
1006888,2015 / 03,26,6
1006888,2015 / 05,26,3
1006888,2015 / 06,26,6
1006888,2015 / 07,26,6
1006888,2015 / 08,1,3
1006888,2015 / 08,26,3
1006888,2015 / 08,9,3
1006888,2015 / 11,26,3
1006888,2016 / 01,26,3
1006888,2016 / 03,26,3
1006888,2016 / 04,26,3
1006888,2016 / 05,26,3
1006888,2016 / 06,26,3
1006888,2016 / 08,26,6
1006888,2016 / 09,26,3
1007044,2015 / 10,26,3
1007084,2015 / 02,26,3
1007084,2015 / 04,11,3
1007084,2015 / 04,26,3
1007084,2015 / 05,26,9
1007084,2015 / 06,26,3
1007084,2015 / 08,26,3
1007084,2015 / 11,22,3
1007084,2015 / 12,26,3
1007084,2016 / 01,26,3
1007084,2016 / 03,26,6
1007084,2016 / 06,26,3
1007084,2016 / 08,26,3
1007084,2016 / 10,26,3
1007084,2016 / 11,26,3
1007102,2016 / 03,26,3
1007102,2016 / 04,16,3
1007102,2016 / 04,25,3
1007102,2016 / 04,26,3
1007102,2016 / 05,26,3
1007102,2016 / 06,26,3
1007102,2016 / 07,26,3
1007102,2016 / 08,11,3
1007102,2016 / 08,16,3
1007102,2016 / 08,26,3
1007102,2016 / 09,26,3
1007102,2016 / 10,26,3
1007102,2016 / 11,26,6
1007210,2015 / 03,11,9
1007210,2015 / 03,22,3
1007210,2015 / 03,25,3
1007210,2015 / 04,25,3
1007210,2015 / 06,13,3
1007210,2015 / 06,22,3
1007210,2015 / 08,26,6
1007210,2015 / 09,22,3
1007210,2015 / 10,26,3
1007210,2015 / 11,1,3
1007210,2015 / 11,22,3
1007210,2015 / 12,26,3
1007210,2016 / 02,22,3
1007210,2016 / 03,22,6
1007210,2016 / 03,26,3
1007210,2016 / 04,26,3
1007210,2016 / 05,26,3
1007210,2016 / 06,26,3
1007210,2016 / 07,26,3
1007210,2016 / 08,22,3
1007210,2016 / 08,26,6
1007210,2016 / 09,26,6
1007210,2016 / 10,22,3
1007210,2016 / 10,26,6
1007210,2016 / 11,26,3
1007301,2016 / 04,1,3
1007301,2016 / 04,26,3
1007301,2016 / 05,1,3
1007301,2016 / 05,26,6
1007301,2016 / 08,11,3
1007301,2016 / 08,26,3
1007301,2016 / 09,11,3
1007301,2016 / 09,26,3
1007301,2016 / 11,11,3
1007301,2016 / 11,26,3
1007448,2015 / 03,11,3
1007448,2015 / 03,22,3
1007448,2015 / 03,26,9
1007448,2015 / 04,11,3
1007448,2015 / 04,25,3
1007448,2015 / 06,22,3
1007448,2015 / 06,26,3
1007448,2015 / 07,22,3
1007448,2015 / 07,25,3
1007448,2015 / 11,22,3
1007448,2015 / 11,26,3
1007448,2016 / 01,26,3
1007448,2016 / 02,22,3
1007448,2016 / 03,22,3
1007448,2016 / 04,25,6
1007448,2016 / 05,25,3
1007448,2016 / 06,22,3
1007448,2016 / 07,25,3
1007448,2016 / 09,26,3
1007448,2016 / 11,17,3
1007448,2016 / 11,26,3
1007883,2015 / 06,26,3
1008050,2015 / 11,13,3
1008050,2016 / 02,26,3
1008050,2016 / 03,26,6
1008050,2016 / 04,26,3
1008050,2016 / 05,26,3
1008050,2016 / 06,26,3
1008050,2016 / 09,11,3
1008050,2016 / 09,26,3
1008050,2016 / 11,26,3
1008301,2015 / 06,11,3
1008301,2015 / 06,26,3
1008301,2015 / 07,26,9
1008301,2016 / 04,26,3
1008335,2015 / 04,11,3
1008335,2015 / 04,26,6
1008335,2015 / 07,26,9
1008335,2015 / 09,26,3
1008335,2015 / 10,26,3
1008335,2016 / 01,26,3
1008335,2016 / 02,26,3
1008335,2016 / 04,16,3
1008335,2016 / 06,26,3
1008335,2016 / 07,16,3
1008335,2016 / 09,26,3
1008335,2016 / 10,26,6
1008395,2015 / 02,26,3
1008395,2015 / 03,11,6
1008395,2015 / 04,26,3
1008395,2015 / 05,26,3
1008395,2015 / 07,26,3
1008395,2015 / 09,1,3
1008395,2015 / 09,26,6
1008395,2015 / 12,26,3
1008395,2016 / 01,1,3
1008395,2016 / 03,1,6
1008395,2016 / 04,1,6
1008395,2016 / 04,22,3
1008395,2016 / 05,1,3
1008395,2016 / 07,26,3
1008395,2016 / 08,11,3
1008395,2016 / 08,12,3
1008395,2016 / 08,26,3
1008395,2016 / 09,26,3
1008395,2016 / 10,11,3
1008395,2016 / 10,26,3
1008395,2016 / 11,11,3
1008395,2016 / 11,12,3
1008433,2015 / 02,26,3
1008433,2015 / 04,26,3
1008433,2015 / 07,26,3
1008433,2016 / 01,26,3
1008433,2016 / 04,26,3
1008433,2016 / 07,26,3
1008433,2016 / 09,26,3
1008433,2016 / 10,26,3
1008492,2015 / 01,22,3
1008492,2015 / 02,11,3
1008492,2015 / 03,11,3
1008492,2015 / 03,26,3
1008492,2015 / 06,26,3
1008492,2016 / 01,26,3
1008492,2016 / 03,25,3
1008492,2016 / 04,26,3
1008492,2016 / 05,17,3
1008492,2016 / 05,25,3
1008492,2016 / 06,26,3
1008492,2016 / 09,26,3
1008492,2016 / 10,26,6
1008649,2016 / 06,26,3
1008649,2016 / 08,26,6
1008649,2016 / 11,25,3
1008649,2016 / 11,26,3
1008778,2015 / 08,26,3
1008778,2015 / 12,26,3
